egoid,alterid,wave,ambigrec,position,poscat,reltype,reltypecat,family,friend,close,trust,duration,freq,roommates,samedorm,altsex,altage,altamin,altasian,altblack,althisla,altpacis,altwhite,altrelig,alted,altrelu,altrelucat,altstudent,althlth,althappy,altdifficult,altactiv,altsleep,act1,act2,act3,act4,act5,sameact1,sameact2,sameact3,sameact4,sameact5,similar,suppfin,suppcomf,supphang,suppadv
10237,970860,Wave1,False,1,Top5,Friend,Friend,False,True,EspeciallyClose,,6+,Weekly,,,Female,18to20,False,False,False,False,False,True,,HasNotGraduatedHighSchool,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,,,,,True,8,,,,
10237,791455,Wave1,False,2,Top5,Sibling,Family,True,False,EspeciallyClose,,15to16,Daily,,,Female,Under18,False,False,False,False,False,True,Catholic,HasNotGraduatedHighSchool,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,True,,,,,8,,,,
10237,794543,Wave1,False,3,Top5,Friend,Friend,False,True,EspeciallyClose,,4+,Daily,,,Female,18to20,False,False,False,False,False,True,NoReligion,HighSchoolOrGED,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,,,,,,8,,,,
10237,944646,Wave1,False,4,Top5,Friend,Friend,False,True,EspeciallyClose,,4+,Weekly,,,Female,18to20,False,False,False,False,False,True,,HighSchoolOrGED,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,True,True,True,True,True,7,,,,
10237,395167,Wave1,False,5,Top5,Sibling,Family,True,False,EspeciallyClose,,17to18,Weekly,,,Male,18to20,False,False,False,False,False,True,Catholic,HighSchoolOrGED,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,True,,True,,,7,,,,
10237,606285,Wave1,False,6,Middle10,RomanticPartner,RomanticPartner,False,False,EspeciallyClose,,3+,Daily,,,Male,18to20,False,False,False,False,False,True,,HighSchoolOrGED,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,,,,,,7,,,,
10237,201164,Wave1,False,7,Middle10,Friend,Friend,False,True,MerelyClose,,1+,Weekly,,,Male,Under18,False,False,False,True,False,False,Catholic,HasNotGraduatedHighSchool,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,True,,,,,6,,,,
10237,710213,Wave1,False,8,Middle10,Friend,Friend,False,True,MerelyClose,,1+,Monthly,,,Male,18to20,False,False,False,False,False,True,Protestant,HighSchoolOrGED,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,,,,,,5,,,,
10237,555957,Wave1,False,9,Middle10,Friend,Friend,False,True,MerelyClose,,1+,Monthly,,,Male,18to20,False,False,False,False,False,True,NoReligion,HighSchoolOrGED,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,,True,,True,,5,,,,
10237,715237,Wave1,False,10,Middle10,Friend,Friend,False,True,MerelyClose,,4+,Monthly,,,Male,18to20,False,False,False,False,False,True,,HighSchoolOrGED,NoRelation,NoRelation,False,,,,,,32100,14300,14400,16900,14200,,True,,,,5,,,,
