Wave,Group,a,b,c,d,Yules_Q
Wave1,Catholic,398,73,94,40,0.3975945922219296
Wave1,No Religion,23,46,23,513,0.8354203935599285
Wave1,Other Religion,3,16,18,568,0.7108433734939759
Wave1,Protestant,6,40,40,519,0.32117098005939754
Wave2,Catholic,2359,424,668,224,0.3020816905850812
Wave2,No Religion,73,319,217,3066,0.5275541647755775
Wave2,Other Religion,16,76,86,3497,0.79080783510434
Wave2,Protestant,55,353,201,3066,0.4076958715768648
Wave3,Catholic,1281,249,351,118,0.2672694576139036
Wave3,No Religion,30,162,118,1689,0.45215372710858914
Wave3,Other Religion,10,45,39,1905,0.8312905551550108
Wave3,Protestant,37,185,133,1644,0.42399307059333047
Wave4,Catholic,1326,234,334,135,0.3921747042766151
Wave4,No Religion,35,130,106,1758,0.6340459434338069
Wave4,Other Religion,12,67,49,1901,0.748380915884269
Wave4,Protestant,42,183,125,1679,0.5101345925283479
Wave5,Catholic,1218,258,318,176,0.4464191733128213
Wave5,No Religion,40,127,143,1660,0.5704639254502667
Wave5,Other Religion,13,70,51,1836,0.7397769516728625
Wave5,Protestant,45,199,142,1584,0.4322168418091583
Wave6,Catholic,978,180,269,150,0.503690036900369
Wave6,No Religion,44,102,122,1309,0.6446601941747573
Wave6,Other Religion,9,59,29,1480,0.7723371698489788
Wave6,Protestant,29,176,97,1275,0.36825355708920016
Wave7,Catholic,892,196,234,135,0.4483654470664646
Wave7,No Religion,23,85,128,1221,0.44152144342068117
Wave7,Other Religion,10,49,19,1379,0.8735140275796481
Wave7,Protestant,48,154,103,1152,0.5541752157171365
Wave8,Catholic,675,143,126,70,0.44787644787644787
Wave8,No Religion,20,52,91,851,0.5649135711658698
Wave8,Other Religion,5,32,17,960,0.7964071856287425
Wave8,Protestant,14,73,66,861,0.42887624466571833
