group,wave,n_egos,n_ties,obs_same_rate,baseline_prop,excess,estimate,std.error,statistic,p.value
No Religion,Wave3,25,166,0.10240963855421686,0.07361660079051384,0.028793037763703025,0.14693708561973143,0.2689578036755376,0.5463202168210437,0.5848458417086151
No Religion,Wave4,24,123,0.13821138211382114,0.0692493946731235,0.06896198744069765,0.5340766349528802,0.274001799323932,1.9491719991279364,0.05127488768373723
No Religion,Wave5,21,116,0.22413793103448276,0.09226932668329178,0.13186860435119097,0.7701905401612866,0.23573505396754424,3.2671871543861513,0.0010862184602990251
No Religion,Wave6,20,108,0.2222222222222222,0.10340557275541798,0.11881664946680423,0.5496911617633555,0.24701881786345556,2.2253007544842514,0.02606105484108991
No Religion,Wave7,15,95,0.21052631578947367,0.10268456375838927,0.1078417520310844,0.5018280992894357,0.2649415244856495,1.8941088991756636,0.05821055675446487
No Religion,Wave8,11,68,0.29411764705882354,0.10792741165234002,0.18619023540648352,0.9635408142224569,0.2854359749188178,3.375681059461766,7.363322431641088e-4
Protestant,Wave3,36,210,0.16666666666666666,0.08399209486166008,0.08267457180500658,0.588945296378311,0.19998077648272775,2.945009549101225,0.003229446956746671
Protestant,Wave4,33,215,0.19069767441860466,0.08135593220338984,0.10934174221521482,0.7710972816244992,0.190208838329262,4.053950848959433,5.0359801789547716e-5
Protestant,Wave5,32,236,0.18220338983050846,0.09326683291770574,0.08893655691280272,0.4304097800256697,0.18606721717776312,2.31319512676147,0.02071191338617743
Protestant,Wave6,27,186,0.12903225806451613,0.07801857585139316,0.05101368221312297,0.18102652107677955,0.23726520015587602,0.7629712277984746,0.4454805552378271
Protestant,Wave7,26,180,0.20555555555555555,0.10268456375838927,0.10287099179716627,0.48946097371213515,0.20277606007951887,2.413800591254177,0.015787099816583446
Protestant,Wave8,13,87,0.16091954022988506,0.07736389684813753,0.08355564338174752,0.562361247102705,0.31175445310543076,1.8038595487600708,0.07125332775757388
Other Religion,Wave3,15,54,0.18518518518518517,0.024209486166007904,0.16097569901917727,2.0622334252920083,0.3613708896620701,5.706694933895951,1.151909682861727e-8
Other Religion,Wave4,18,69,0.15942028985507245,0.029539951573849883,0.12988033828122256,1.651731745878843,0.3399216300056431,4.859154581752924,1.1788806443828546e-6
Other Religion,Wave5,14,76,0.17105263157894737,0.03192019950124688,0.13913243207770049,1.53329296865518,0.31682531155924015,4.839553257626905,1.3013131658442085e-6
Other Religion,Wave6,13,63,0.14285714285714285,0.02414860681114551,0.11870853604599733,1.523284542482768,0.37374365234843704,4.075746926833761,4.586688113831113e-5
Other Religion,Wave7,8,50,0.2,0.019463087248322148,0.18053691275167785,2.150535620121173,0.3663317782030771,5.870458824702391,4.34590709800442e-9
Other Religion,Wave8,7,38,0.15789473684210525,0.021967526265520534,0.13592721057658472,1.8884065126823784,0.4585791989674744,4.117950654836216,3.822565168013098e-5
